hen-bu-man-yi , 陈景润“1+2”证明论文简化版原文
zhang-zhong-wen-48-82 , 开玩笑 你看心灵捕手 教授做的难题被解出来都能(当然你要认识)
su-yibai-32 ,   能坐飞机去美国的你非得游泳去。。
 , 高中生能做到这个的，高斯再世吧。北清的庙容不下这尊大佛了！不去世界前三就是人类对科学的不尊重！
xue-mo-85-94 , 清华北大的人不一定能证明猜想，能证明的清北没跑了
qian-yu-75-3 , 为啥民科和准民科不来玩计算机呢……深度学习那么大一个黑盒在那放着呢。
a-xian-99-18 , 没有人在沽名钓誉哗众取宠的时候认为自己的确在沽名钓誉哗众取宠。（经热心网友提醒，除了营销号
xiu-wu-xing-guo , 同学你好，我想用一张图来回答你的问题。有梦想是好的，但是必须从实际出发，首先让我们看看数学的深渊我们究竟探索多少吧。不过我还是很期待你的证明，也许的确可以为哥德巴赫猜想的证明带来新思路。做为你的同龄人，我想对你说：初生牛犊不怕虎，加油吧。但也请同学你铭记，在仰望星空的同时也不要忘了脚踏实地。更新刚刚看了题主的言论，就过来更新一下。。。之前还不知道题主说要一月一号直播证明过程，我想很多知友都看过《三体》吧，我觉得其中有一句话说的很好：弱小和无知，不是生存的障碍，傲慢才是。我想这句话用在这里比较合适。数学的研究和证明，决不能骄傲自满，更对不是以制造噱头为目的的，而是真真正正热爱并投入其中。在我看来，要做好研究，首先就要耐得住寂寞，要对自己的研究成果反复进行验证计算，确保万无一失以后，才能拿出来在公众场合发表。反观题主，在回答一些答主的答案时，并没有对这些答主给出的问题进行正面的回答，而是说：“我的证明过程比他简单。”请问这样的回答怎能有说服力呢？未免有些傲慢和轻浮。广大知友也不知道题主证明过程的正确性，题主却说要直播发表论文，这就难免有些傲慢和制造噱头的氛围在其中了。题主究竟是怎么证明的，令我有些怀疑。其次，题主带有过高的功利性对待哥德巴赫猜想的证明。题主做这项研究的目的就是为了上清华北大，我只能说题主的功利心有点过强了。请题主看看现在的许多诺奖得主和世界上有名的大数学家，哪一个不是忍受住了寂寞，抵御了外界的许多诱惑，潜心研究多年得出了宝贵研究成果?我想反问一下题主：“如果我明确告诉你上不了清华北大，那么你还会认真研究哥德巴赫猜想的证明过程吗?”还是请提主为了研究而研究，少一点功利性吧。真正要做出成果的话，还是请题主埋头苦干吧。毕竟有一句老话说得好“闷声发大财”真正研究出成果的科学家，绝不是像题主这样在知乎上公开发表这样的言论的，他们只会日复一日、年复一年的以严谨的态度进行着研究和计算，在确保无差错以后再将自己的成果公之于众。所以我建议提主要学习一下他们这样的精神和态度，才能在数学研究方面有长足发展。最后，还是想告诉题主一句话：冰冻三尺，非一日之寒；铁杵成针，非一日之功；滴水穿石，非一日之力。希望题主能以严谨和不浮于表面的态度来对待自己的学习和研究，多学习，多积累，多听取其他知友的有益建议。12.29 更新先感谢一下各位知友的赞啦！首先想说一下关于这张名为“数学的深渊”图片的问题：图片是从网络上找的一张图片，大部分还是属于娱乐的性质的。细究此图，其中对数学这门学科所包含的内容和不同科目之间难度的理解与划分肯定是存在许多不妥之处的。而我在回答里用这张图的目的，是为了告诉题主在数学的学习中要探索的东西还是很多，罗马不是一日建成的，我们许多人也不可能像武侠小说里的天才一样，在一瞬间打通自己的“任督二脉”成为绝世高手的。更多的我想应该是通过我们对知识的不断的学习和积累，一步一步地靠近自己的梦想，达到常人所难以企及的高度吧（股票预测除外2333）这也是在这里我引用这张图片的意义所在。其次，根据题主老师所说的题主偏科的情况，我想结合自己在大学的生活与感受，给出一点建议（此处感谢知友 @bby ）：题主不妨在接下来的时间里，努力学习一些平时不太好的的学科，纠正偏科。通过高考，考上一个好的大学，再来谈证明哥德巴赫猜想的梦想。为什么我会这么说呢？我也是经历了高考的学生，来到大学以后才发现大学和高中的教学模式是完全不一样。高中的时候可能更多的是“填鸭式”教育，是为了学生高考考出好成绩的一种教育方式，学生在高中接触到的知识面和可以利用的资源都是非常有限的。但是大学和高中是有着千差万别的，大学的教学模式远远比高中要开放自由的多，在大学你会发现有很多时间来从事自己热爱的事情，发展自己的兴趣爱好（亲身体会）在大学，题主你会发现接触到的知识面也会更广，可以供你使用的资源那也远远比高中多，在你能够完成自己学业的情况下，只要题主你愿意探究，我相信大学的老师和教授应该是会支持题主你的研究的，说不定你还会碰到一群和你一样拥有梦想的志同道合的人，组成一个小团队，共同研究、探索，一起面对证明道路上的困难,一起享受成功的喜悦。而在高中的话可能周围的同学都忙于高考，无暇进行这些研究，老师也可能不会太支持你，一个人进行这样难度的问题的研究是很困难的，因为高中生的首要任务还是备战高考吧。所以我认为，题主你应该先纠正偏科，考上一个好的大学，这样你追梦的道路才会更加宽广、前途才会更加光明。最后，我看到这个问题的回答下有一部分知友嘲讽、一部分质疑、当然也少不了吃瓜围观的知友。但是，我希望在一月一号到来之前，大家都能够冷静客观的看待题主的言论和提出的问题，一切等到最终尘埃落定以后再给出一个公允不失偏颇的评价吧。
way-of-begining , 上一个和你一样吊的人叫伽瓦罗
qin-dian-zi-ci-bu-zi-ci , 我觉得民科最大的问题就是根本意识不到自己说了什么，所以才会冒出“证明哥猜”“发明永动机”“自配药方治疗狂犬病”这些神论来。
fu-sheng-yi-lao , 我要是证明了哥德巴赫猜想，下一个菲尔兹就是我，我还去什么清北？（虽然我现在真的很想去）
lu-bo-46-79 , 十三流的无限制开金手指的网文都不敢这么写。
 , 不请自来   同学你一定可以得诺贝尔数学奖的！【手动狗头】
 , 我建议发到期刊上去。毕竟如果是真的，别人剽窃去了发到期刊，题主清华北大也就没啥希望了。
a-nuo-39-86 ,        为什么那么多人对他疯狂进行恶意的嘲讽与贬低。题主犯的错误无非是年少轻狂罢了，可以指正与劝导。但是那些恶意猜测嘲讽的人是出于什么心态在做这些事？        你们是正义的执法者吗？打着高中生要为自己言行负责的口号在网络上进行口语上的羞辱，这也是霸凌！知乎用户还一天天看不起抖音瞧不起微博，现在看见个轻狂的少年就开始了一场狂欢。        还有甚者推测出他的为人品性！真是可笑，你活了这么多年把你自己的品性搞明白了吗？        我对于题主不存在任何恶意，我只觉得他是个数学很好的人。证明对了就是天才，错了就是年少轻狂。希望题主不要被网络暴徒所伤。千古风流人物，还看今朝。
ren-rong-zi-78 , 不存在的，你进了清华北大，谁教你高数？
da-huang-is-here , 你都能证明哥猜了，还要清北的入取书干嘛？
yangyu-13-16 , 如果能证明的话就说明了一个事实时间机器已经在未来被发明我说什么来着！真的有可能耶！2019.1.1，时间机器被证实，人类历史彻底改变
 , 谢尔顿都还没得诺贝尔奖呢
wa-e-zhe-shi-jie , 题主你好：大二学长告诉你，我为什么关注这个问题。首先，我也是一个数学爱好者，但很理智。猜想的证明在大学有好多老师都不愿意做，因为太费时间了，而且难度太大。你要知道哥德巴赫猜想陈景润也就证明到了“1＋2”。那么请问你看过“1＋2”的证明过程吗？其他知名数学家对哥德巴赫猜想的研究论文你看过没？倘若没有的话，我觉得说证明哥德巴赫猜想就是无稽之谈。就好比你跳进了浓度为98％的浓硫酸中，然后你说你自己毫发无损。假如你都没有看过其他人的论文，然后你说你自己证明了哥德巴赫猜想，我个人觉得就是异想天开。就是民科作风，不务实，空中楼阁。作为一个学生如果不务实，整天异想天开，那么这个学生就是孔子说的则不复也。即使是爱因斯坦他老人家做研究也是要先看别人的论文的。假如题主没有看过任何论文，然后说自己证明了哥德巴赫猜想，我会说那你说啥就是啥。今年还有一件大事，那就是英国数学家证明了黎曼猜想，但是大家存在很多争议。我不确定自己理解的是否正确，我来抛砖引玉一下，英国数学家用自己创造的一个新理论证明了黎曼猜想，但是新理论大家不是太理解。也许英国数学家真的证明了黎曼猜想但是大家还不理解而已。但是，记住这位英国数学家不是英国的高中生，也不是英国的本科生，而是在数学界征战数年的89岁的老者。然后我再来谈一下我对哥德巴赫猜想的看法，以及我的了解。（我是工科生，不搞理论研究）我们知道使用C语言可以证明哥德巴赫猜想在具体数值上的正确性（例如5777777，可以使用简单的C语言程序验证其是否为质数，如果为质数，进而验证其是否满足哥德巴赫猜想，就可以验证在具体数字上哥德巴赫猜想是否正确），但是需要计算机。只要计算速度够快，那么我们就可以证明到很大的数。但是，不知道你是否知道无穷大这个概念，假设你知道，那么我们都知道无穷大没有具体定义，只是一个抽象的定义，无法通过具体数值逼近而证明哥德巴赫猜想，就是从现在开始世界上所有超级计算机开始验证哥德巴赫猜想，那么算到地球毁灭那一年也不可能证明哥德巴赫猜想。即使我们抛弃C语言，使用Python、JAVA等其它语言（这里只是举个例子，没有说哪个语言一定就好过哪个语言，也没有比较语言之间的运行速度），也还是没有办法去证明。就是使用最常用的matlab来验证，也没有办法验证哥德巴赫猜想。所以我觉得我们目前只能从理论研究去证明或者说我们可以保证哥德巴赫猜想在小于某一个我们验证的数的范围内是成立的。以上就是我对哥德巴赫猜想的理解，但是为什么对哥德巴赫猜想感兴趣呢？因为只要学过简单的初高中数学就能看懂哥德巴赫猜想，所以对哥德巴赫猜想感兴趣的人很多，但是感兴趣归感兴趣，不要耗费太多时间去钻研，先考个好的大学吧，之后保研直博你会有时间去做这方面的研究的时间，前提是你考得上大学，而且是一个好大学。再来说，你问证明哥德巴赫猜想，是不是能上清华北大。我可以告诉你，只要你的证明过程被专业数学家认可，那么MIT全额奖学金是没有一点问题的。但我觉得你可能高看清华北大了，你也高看你自己了，中国知网上早就有人证明出哥德巴赫猜想了，但是没有去清北，原因只有一个……（自己想）我再来谈谈我为什么觉得你不可能证明哥德巴赫猜想，因为我的高数老师是做计算数学的，他都不去做证明哥德巴赫猜想这种疯狂的举动。我的复变函数老师告诉我们：搞数学理论研究一定要心态好，可能有人研究了一辈子没有任何成就，当也可能有人研究了三四年就出了成果。有一些搞数论的大佬都被逼疯了，因为自己想做成就，但是做不出，整日就看数论，最后与世隔绝，闭门造车搞数论。好了，接下来我来说，这种人在中国并不少见，而且大多都出自一个学校中科大（不是攻击啊），是因为中科大的少年班那些人太聪明了，他们的努力肯定比一般人要多，在进入少年班接触一些新东西后，就尝试自己去探索，这个过程中逼疯了不少人。探索新东西是需要付出代价的，要么是持之以恒的努力要么把自己逼疯。就即使是陈景润证明“1＋2”的论文发表时都让其他人检查了一遍，而你一个高中生没有任何人检查，闭门造车说自己证明了哥德巴赫猜想。你对自己的智商高估了吧？你可以试一下自己智商是不是可以加入门萨俱乐部，网上有测试题的。还有一点，你说清北的问题，我告诉你，清北并不简简单单是个名字，更是努力，是务实。就拿我的老师来说，他是上世纪七十年代（好像是1974年）的清华大学本科毕业，他带给我的不仅仅是说自己是清华毕业的。关于过往他只字不提，只是在讲课时思维上震撼了我们，那种敏捷的思维，扎实的数学功底（拉氏变换，二三重积分，傅立叶变换，线性代数……）和专业知识的丰富性完完全全震撼了我们所有人，真的是一个博学的老者。还有他的英语发音标准清晰，简直就是男神级别的人。说话和蔼，衣着简朴整洁，真的只是简朴。专业知识扎实，讲课特别好，完完全全就是一个务实的人。我想这才是清北的学生该有的样子，我希望自己也能成为这样的人！所以我希望你对大学有个正确的理解，不管你之后关于哥德巴赫猜想的证明是否通过，我还是希望你先能考一个好一点的大学。当你进入好的大学你会发现你的身边的人都非常优秀。在专业课上你会有更多的机会去接触更多的知识。包括我们今天专业课上的结课论文讨论上， 有同学结课论文讨论的无线充电技术，我觉得很腻害，真的对我们专业课做了很多研究。还有我关注了你，一方面是因为我真的希望你能证明出哥德巴赫猜想，但是概率论的知识告诉我这种概括为0（概率论告诉我们概率为0并不代表事件不发生），也就是说我希望你能证明出来，但是我的直觉告诉我那是不可能的。另外一方面就是因为我真的是来看热闹的，你要是1月1号没有放出论文，或者论文是错的，孩子，你会知道啥叫网络暴力的。毕竟大家都是来网上找开心的，我也是。如果有人对你证明哥德巴赫猜想抱有猜想，那么他可能有点太容易相信别人了。所以，我建议你现在注销掉这个知乎账号，然后好好学习，考个好大学吧！补一条：[ 提醒 ] ：题主保护好个人信息，不要泄露，不要泄露，不要泄露！（看评论说题主为了获得自主招生或者别的目的，不管哪种目的，都不要泄露个人信息，不要把自己在知乎上做的讲给别人听，一传十十传百，然后…………）
nan-pu-shuang-mu , 同学，无论你有没有成功证明，只希望你不要好高骛远。
lan-yi-65-89 , 如果真有这么厉害，你也不需要在高中奋斗，相信你早已上了大学，从事这方面研究了。还是好好准备高考吧。
a-ke-rui-mu , 你为什么不想想拿诺奖这种靠谱一点的方法那   
xun-wu-zhao , 我已经找到一个证明哥德巴赫猜想的精妙方法，而这个页面没有足够的空位写下。
ba-la-la-tuo-xie , 如果我有一百亿，能开个早餐店吗？如果我当上常委，工资能涨1000吗？如果我百米9秒，能代表学校去省上参加运动会吗？如果我是钢铁侠，能特招入伍吗？如果我们证明哥德巴赫猜想，能保送清华吗？答案只有一个，那就是：可以但没必要
