si-xiang-jue-ding-da-ju ,      我一个工科生，连哥德巴赫猜想这个名字都没怎么听说过，却接连几天一直在知乎看这个话题，我看了好多答案大家有些人就为了这个问题进行了好多讨论，甚至有答主专门注册了知乎号来等一月一号公布答案。而最先的题主 @证明 也24K关注了。       这到底是知乎的营销还是这位题主的营销呢？或者是???
 , 如果高中生发布了一个钓鱼问题，并因此获取了20K+的关注，会被清华北大新闻系保送吗？https://www.zhihu.com/question/307400647
ling-hu-chong-8-40 , 不成熟的人有一个特点，为了掩盖自己不能完成一个简单的事情，而假装自己在做一件很难的事情。很多人一辈子都这样。
 , 看到这个内容，想起高中的我，真好。数列嘛，几张证明我高中唯一存在，浓缩了所有我高中的优秀做法想法和当时想到如何下笔时令我兴奋的一点灵机，永远都不可能有那种精力那时情景再复刻一份，想给我妹这数学不懂的小傻瓜看看，数列就不用愁了的笔记，给一个女生弄丢了，我不怪她，但是永远不会原谅她。高考以后我在垃圾堆里找了好几个小时，这是我一辈子的遗憾。高中数列我觉得挺简单的，应该是我没接触也不会接触到那么高水准的东西。我累了，没有以前对数学的狂热了。不想去探索，我已经是个堕落的人，没有资格再触碰数学，可能这辈子我都不懂哥德巴赫猜想，唉不说了。我还是这样，到处都负能量满满的传播给别人。不好意思，想到些不该说的，管不住自己，说了些题外话。不管能不能证明，我还是希望题主，永远热爱数学，永远，不要放弃自己的梦想，虽然我没资格说这些。加油。
ayranny , 建议和这位一起讨论讨论http://bbs1.people.com.cn/userInfo.do?userNick=%E4%B8%80%E4%BB%A3%E6%95%B0%E5%AD%A6%E5%A4%A9%E9%AA%84
qing-fu-3-61 , 达克效应了解一下
dao-xie-ban-hu-ming-yue , 惊闻题主收藏此答案，本人不胜惶恐。若此答案对您的数学研究之路略起了绵薄之力，本人荣幸之至—————————————————————————思来想去，觉得某知友说得对，这种可能让数学腾飞的足以写进世界通史的科学发现，不能固步自封，必须得与世界上其他优秀数学研究者进行交流才可。故特此更新一下榜单，本人对真实性与专业性概不负责。（都说了不负责还吹毛求疵本来就是乐一乐的答案竟然还有来讨论这个榜单的真是。。）根据USNews 2018全球大学数学学科排名世界排名大学名称所在国家（地区）第1位巴黎第六大学法国第2位斯坦福大学美国第3位普林斯顿大学美国第4位麻省理工学院美国第5位加州大学伯克利分校美国第6位牛津大学英国第7位纽约大学美国第8位哈佛大学美国第9位剑桥大学英国并列第10位苏黎世联邦理工学院瑞士并列第10位芝加哥大学美国第12位哥伦比亚大学美国第13位德克萨斯大学奥斯汀分校美国第14位加州大学洛杉矶分校美国第15位明尼苏达大学双城分校美国第16位德克萨斯A&amp;M大学美国第17位威斯康星大学-麦迪逊分校美国第18位帝国理工学院英国并列第19位北京大学中国并列第19位密西根大学安娜堡分校美国第21位伊斯兰阿萨德大学伊朗第22位洛桑联邦理工学院瑞士第23位华威大学英国并列第24位布朗大学美国并列第24位杜克大学美国并列第26位宾夕法尼亚州立大学大学园校区美国并列第26位波恩大学德国第28位巴黎第七大学法国第29位罗格斯新泽西州立大学美国第30位华盛顿大学美国第31位复旦大学中国并列第32位巴黎第十一大学法国并列第32位米兰大学意大利第34位香港中文大学中国香港第35位不列颠哥伦比亚大学加拿大并列第36位巴黎综合理工大学法国并列第36位罗马大学意大利并列第36位成均馆大学韩国并列第39位南开大学中国并列第39位上海交通大学中国并列第39位圣保罗大学巴西第42位京都大学日本第43位新加坡国立大学新加坡第44位天主教鲁汶大学比利时第45位北京师范大学中国第46位宾夕法尼亚大学美国并列第47位多伦多大学加拿大并列第47位维也纳大学奥地利第49位佐治亚理工学院美国第50位加州理工学院美国第51位伊利诺伊大学厄本那-香槟分校美国并列第52位香港理工大学中国香港并列第52位清华大学中国第54位东京大学日本第55位北卡罗来纳州立大学罗利分校美国第56位以色列理工大学以色列第57位加州大学圣地亚哥分校美国第58位莫斯科国立大学俄罗斯第59位里斯本大学葡萄牙第60位艾克斯-马赛大学 法国并列第61位香港城市大学中国香港并列第61位巴黎高等师范学院法国并列第61位密歇根州立大学美国第64位普渡大学西拉法叶分校美国第65位沙特国王大学沙特阿拉伯第66位浙江大学中国第67位中国科技大学中国第68位慕尼黑大学德国第69位北卡罗来纳大学教堂山分校美国第70位米兰理工大学意大利第71位布拉格查理大学捷克共和国第72位俄亥俄州立大学美国第73位维多利亚大学加拿大第74位南京大学 中国第75位新南威尔士大学澳大利亚第76位巴黎第九大学法国第77位柏林工业大学德国并列第78位都灵理工大学 意大利并列第78位贝尔格莱德大学塞尔维亚第80位慕尼黑工业大学德国第81位厦门大学中国第82位格拉纳达大学 西班牙并列第83位帕维亚大学意大利并列第83位耶鲁大学美国第85位华沙大学波兰第86位首尔国立大学韩国并列第87位安提里姆大学土耳其并列第87位圣彼得堡国立大学俄罗斯第89位莱斯大学美国第90位康奈尔大学美国并列第91位柏林洪堡大学德国并列第91位巴斯大学 英国第93位加州大学戴维斯分校美国并列第94位卡内基梅隆大学美国并列第94位中山大学中国第96位希伯来大学以色列第97位阿米尔卡比尔理工大学伊朗第98位哥廷根大学德国第99位塞维利亚大学西班牙第100位维也纳技术大学奥地利题主随便选，菲尔兹奖阿贝尔奖都拿过后可以去以上随意一所大学任教，保证你能尽自己的全力在世界数学史上留下自己浓墨重彩的一笔，不对，是一页，也不对，我觉得可能一百年后世界数学史会专门为你开辟一个章节。—————————————————————————以下为原答案—————————————————————————你们没发现吗，这位仁兄ID叫做证明。所以我现在在想，应该是这样。本人（主语）证明（同位语，和“本人”同时作为“我”的代称）出（动词，我理解为发表，写，理解）了（表示已完成）哥德巴赫猜想（宾语）。意思就是“我”出了一个叫做“哥德巴赫猜想”的东西，可能是一本书，也可能是一个册子，也可能是一本画册。但是，如果我理解错误了，敬请指教。我实在是想不到别的理解方式了。当然了，如果你真的惊世骇俗了，以下拿走不谢。（以下资料均来自各学校数学相关院系官网，公开资料不存在侵权情况，持续待更）中国科学院数学与系统科学研究院（谢 @Kiiim 指正）电话：86-10-82541777　传真：86-10-82541972　Email：contact@amss.ac.cn地址：北京市海淀区中关村东路55号　邮政编码：100190北京大学数学学院地 址: 北京市海淀区北京大学理科1号楼邮 编: 100871联系电话：010-62751804邮 箱：mathweb@math.pku.edu.cn复旦大学数学科学学院电话：+86(21)65642341 传真：+86(21)65646073清华大学数学科学系 地址：北京市海淀区清华园1号 邮编：100084电话：010-62783140传真：010-62792401中国科学院大学数学科学学院地址：北京市石景山区玉泉路19号（甲） 邮编:100049（席先生，，算了你尽量别打扰他了）中国科技大学数学科学学院通信地址：安徽省合肥市金寨路96号，中国科学技术大学数学科学学院邮编：230026国内区号：0551常用电话行政办公室：63607263 教学办公室：63601003(本科生)   63601006(研究生)  党委办公室：63601004数学图书分馆：63601008传真：63601005（原缺，现补足）南开大学数学科学学院 | 地址：天津市卫津路94号 | 邮编：300071| 电话：022-23504717（只要你证出来了，我请你吃遍天津名吃。）（哈哈哈话虽这么说不过也轮不到我请啦）山东大学数学学院 网址：http://www.maths.sdu.edu.cn地址：济南市山大南路27号 | 邮编：250100 |电话：0531-88364652 | 传真：0531-88365550（熊庆来等着你）浙江大学数学科学学院邮箱：mathadmin@zju.edu.cn 邮编：310027 电话：0571-87953867（你可以去看看苏步青的手稿）南京大学数学系地址：中国南京市汉口路22号鼓楼校区西大楼 邮编：210093电话：86-25-83592861东南大学数学学院（本条建议略过）（略过不是因为不重要而是因为我没有搜到院系联系方式只搜到了各个办公室的联系电话，，如果真的要打电话给数学学院院长的话还是慎重思考一下吧。。曹进德老师可能实在是没时间接电话的。。）数学系办公室（四牌楼）	  025-83792315	    四牌楼	  五四楼三楼  数学系领导办公室	  025-83792316；0238	    四牌楼	  五四楼三楼北京师范大学数学科学学院地址：北京市海淀区新街口外大街19号后主楼  | 邮编：100875  | 传真：010-58808202上海交通大学数学科学学院地址：上海市闵行区东川路800号数学楼 邮编：200240电话：(86-21) 54743151传真：(86-21) 54743152Address：800 Dongchuan RD Shanghai, 200240 ChinaTelephone：(+86-21) 54743151Fax：(+86-21) 54743152中山大学数学学院广州市海珠区新港西路135号中山大学新数学楼（东南区266栋）天津大学数学学院（我不管我就是要贴）天津大学数学学院地址：天津市津南区雅观路135号第32教学楼，300350邮箱：maths@tju.edu.cn电话：+86 (0)22 27402850传真：+86 (0)22 27402850华中科技大学数学与统计学院地址：湖北省武汉市洪山区珞喻路1037号　邮政编码：430074　电话\传真：86-027-87543231　E-mail：mathhust@mail.hust.edu.cn武汉大学数学与统计学院地址：湖北省武汉市武昌区 武汉大学文理学部樱园(邮编：430070)院内办公室电话:行政办公室：68752957	党委办公室：68752966书记办公室：68752966	院长办公室：68754675科研、外事办：68752957	协同创新中心：68756753本科生教学办：68752958	本科生工作办：68754412研究生教学办：68754907	研究生工作办：68754907实验中心：68752750	院图书馆：68754679《数学杂志》编辑部：68754687	《数理医药学杂志》编辑部：18971013113（原缺，经评论区知友补充）厦门大学数学科学学院邮编：361005 电话：2580608 传真：2580608电子科技大学数学科学学院邮编：611731电话：028-61831280（院办公室）地址：电子科技大学清水河校区 主楼A1区网址：http://www.math.uestc.edu.cn（既然题主收藏了，那我也得做到底。持续待更）（欢迎在评论区推荐，如能附带联系方式更好）本着私心，觉得国家需要你这种三百年一遇的人才（哥猜到现在三百年了）（谢知友提醒修改），就不贴国外的了。当然了，这几个要贴。香港中文大学数学系AddressDepartment of Mathematics,Room 220, Lady Shaw Building,The Chinese University of Hong Kong,Shatin, N.T., Hong Kong Tel(852) 3943-7988 Fax(852) 2603-5154 Emaildept@math.cuhk.edu.hk URLhttp://www.math.cuhk.edu.hk/香港大学数学系https://www4.hku.hk/hkumcd/index.php/eng/unit/42_Department_of_Mathematics香港科技大学数学系http://www.math.ust.hk/about_us/contact_us.php（以上两条由知友  @五更琉璃 友情提供 ）如有冒犯，尚请海涵。最后，上图一张。
nancy-16-40-68 , 很多人在鼓励他，不要因为这次证明的结果，网友们的冷嘲热讽而改变自己对数学的初心。        但我看到的是一位希望借数学帮自己获取一些利益的高中生，他的初心真的是热爱纯粹的数学吗？抱歉我觉得不是。        他让我看到的，一方面是取巧心理在作祟。明明想要考上清华北大可以靠自己的努力，走很多人常规的途径，从高考考进去，但是从他个人主页显示的信息看来，他并不踏实于此。私以为，他只是一个在高中生身份中成绩平平却又想“抄近路”的人而已。        如果想要走和大多数人不一样的路来达到自己的目标也无可厚非，问出这样的问题只是信息缺少，想要找到招生办的老师也完全可以。但是更合理的方式应该是，提问前先让周围可能可以提供帮助的老师帮忙验证过程。而不是在知乎掀起哗然大波，再用“你们都是错的，你们等着被我打脸”的态度，和大家约定时间发布证明，一个发布前并没有给其他人验证过的证明，一个让大家抱着“看好戏”或是支持鼓励心态来等待的时间。问出这样的问题，眼界还是太浅。另一方面，则是对数学缺少敬畏。所以他的态度很容易让人觉得不舒服。哥德巴赫猜想不应该和“保送清华北大”摆在同一个地位上相提并论。（当然，我并不是说这两所大学不够顶尖。只是孰轻孰重大家都知道。）只是，哥德巴赫猜想应该是纯粹的，不应该被拿来和钓名沽誉的事情联系在一起的存在。一旦存在目的，就不对劲了。以上。
lu-ke-jing-83 , 此题已解答详尽，且听我讲点题外话。想起当年在初中及高中学习数字的过程中，本人经常与同学交流。譬如我做出了一题，自认为完美无缺，逻辑缜密，可那与同学一看，他思索一会便能指出我解题过程的漏洞，有时是定理运用错误，有时是公式计算出错，交谈间我对此题也有了新的见解；譬如同学解完题交与老师，老师却打了一个叉，他百思不得其解，处处与人争辩。我看在眼里，也有些许好奇，上前取试卷细看，思索良久，脱口而出“你看，你这里......”数学讲究逻辑，我现在学的医学也是以事实为依据。解题成功与否不能光凭一家之语，题主若解出了哥德巴赫猜想，大可把自己的解题思路与过程上传到知乎上供大家评判或与你的数学老师讨论。就算你的思路出了问题也不用灰心，学海无涯，随心即可。
hello-miain , 会。不过送你两句话:珍爱生命，远离哥猜。（对于连初等数论都没学过的人来说）放弃哥猜证明，享受轻松生活。（适用于所有为哥猜劳心费力的巨巨）自己对号入座吧。字迹
