sen-lin-mi-lu-62-47 , 如果成功，我给大家表演，两女一杯
han-han-han-han-han-han-47-21 , 很佩服你有这样的挑战精神 希望你不要因为这些冷嘲热讽的人而熄灭自己对数学的热情 无论证明是对是错 希望你可以一直保持这样的求学之情 继续探索 相信你以后一定有更好的成就
gza060625 , 这问题类似于“当上皇帝可以用金锄头么?”
wang-tian-le-84-8 , 不是很理解你们为什么要抨击他？无论结果如何，作为一个高中生有这样的求知欲和行动力难道不足以得到人们的鼓励和夸奖吗？看到之前有个答案说证不好会被记黑名单我也不知道怎么想的。我们应该鼓励年轻人不怕犯错去勇敢尝试。大家怎么反倒变的这么刻薄。答主不管你正确与否（当然我也觉得正确的概率不大）希望你能坚持自我，保持求知欲和亢奋的头脑。
 , 清华北大校长马上会动用私人关系限制你出境：这样的人才千万不能让哈佛抢了去。
sxy-77-82 , 见证历史！来了
yu-yu-85-85-69 , 支持题主，虽然我不懂你们的数学。但是我也上过初中二年级，并成功的升学并度过了出勤率极高的高中二年级。至于出勤率有多高。我第一句就说了我不懂你们数学，只能告诉你很高很高。所以你们这些家伙啊，都是些只会冷嘲热讽的键盘侠！什么实际行动都不会做！只会说！在生活的磨难面前你们连梦想都没有了吗？？你们等着吧！说真的，题主给了我很大的信心。也让我这些天不停的在反思自己。"你因为生活的困顿和劳累放弃了自己的梦想了吗？"我对着镜子问自己。所以，我决定！题主发布论文证明成功后，我会跟着发出这些年来我利用工作闲暇之余做出的永动机图纸，因为有一些关键零部件我买不到，所以只能先发图纸了。一旦发表成功获得投资的话，我计划首先去网购之前买不到的零部件，成品先装在我的电摩上，这样上下班以及工作时都会轻松很多。我在业余时间就会有更多的精力去把四色猜想的证明论文完成并发出来。阿佩尔跟哈肯这两个家伙还得借助计算机来完成。我的证明不用。之后不用计算机证明四色猜想的论文成功发布并为我带来经济收益的话，我会去买一台计算机。
hjihao , 我看懂了他的逻辑。大框架没有错。只是他的工作是，解释了: 任意大于2的偶数总能写成两个奇数之和。(即哥德巴赫猜想的逆命题。下图是刚刚看见的，完美解释了思路)—— ——————说一下"证明过程"大家为什么会看得云里雾里，以第一变式为例: 属于"偷换概念"。还有我觉得大家不要抠着那个-1不是质数。我想证明者本意是构造出一个新的集合，姑且称为"六集"，里面囊括了满足哥猜的所有偶数和它塞入的负数，然后"鬼斧神工"(注: 这个词属误用，只能用来形容大自然——高考语文了解一下，敲黑板划重点) 般证明出这个集合实际上筛去那个负数就剩全体大于2的偶数，那么这个逻辑是没有问题的。 是中间的证明走江湖了。祝愿他在新的一年能有所改变，脚踏实地，仰望星空。PS: 有些人揪着那个-1瞎凑热闹，是要向全国人民谢罪的。
brandon-stark-30 , 一月一号了，不知道，证明过程发出来了吗，有收到的麻烦转发一下，有看到的麻烦发下链接，多谢了
gggg-77-3 , 唉，我竟然信了你的鬼话，把你这个提问推给了我的高数老师……看了看别人的回答，我承认我傻逼，龙不吟，虎不啸，小小学生可笑可笑，张口就来，文体两开花
 , 来看个热闹ps假如证出来还需要去清华北大？？？没人教得了你了
